2024-03-12T12:15:0  : E:\AMSystemFull\Account Management Backend\errorLog.js : read ECONNRESET
2024-03-12T12:15:1  : E:\AMSystemFull\Account Management Backend\errorLog.js : Error: Can't add new command when connection is in closed state
2024-03-12T12:15:1  : E:\AMSystemFull\Account Management Backend\errorLog.js : Error: Can't add new command when connection is in closed state
2024-03-12T12:15:2  : E:\AMSystemFull\Account Management Backend\errorLog.js : Error: Can't add new command when connection is in closed state
2024-03-12T12:15:3  : E:\AMSystemFull\Account Management Backend\errorLog.js : Error: Can't add new command when connection is in closed state
2024-03-12T12:15:3  : E:\AMSystemFull\Account Management Backend\errorLog.js : Can't add new command when connection is in closed state
2024-03-12T12:15:3  : E:\AMSystemFull\Account Management Backend\errorLog.js : Error: Can't add new command when connection is in closed state
2024-03-12T12:15:4  : E:\AMSystemFull\Account Management Backend\errorLog.js : Error: Can't add new command when connection is in closed state
2024-03-12T12:15:4  : E:\AMSystemFull\Account Management Backend\errorLog.js : Can't add new command when connection is in closed state
2024-03-12T12:15:4  : E:\AMSystemFull\Account Management Backend\errorLog.js : Error: Can't add new command when connection is in closed state
2024-03-12T12:15:4  : E:\AMSystemFull\Account Management Backend\errorLog.js : Error: Can't add new command when connection is in closed state
2024-03-12T12:15:4  : E:\AMSystemFull\Account Management Backend\errorLog.js : Can't add new command when connection is in closed state
2024-03-12T12:15:4  : E:\AMSystemFull\Account Management Backend\errorLog.js : Error: Can't add new command when connection is in closed state
2024-03-12T12:15:4  : E:\AMSystemFull\Account Management Backend\errorLog.js : Error: Can't add new command when connection is in closed state
